지역,인센티브,포인트 지급한도,연간 지급한도,시작일,종료일
가평군,10 %,"월 60,000 원",연간 제한 없음,2024-01-30,예산 소진시 까지
고양시,0 %,월 0 원,연간 제한 없음,2024-02-01,2024-02-29
과천시,10 %,"월 30,000 원",연간 제한 없음,2024-02-01,2024-02-29
광명시,10 %,"월 50,000 원",연간 제한 없음,2024-02-01,2024-02-29
광주시,10 %,"월 50,000 원",연간 제한 없음,2024-02-01,예산 소진시 까지
구리시,10 %,"월 80,000 원",연간 제한 없음,2024-02-01,2024-02-29
군포시,10 %,"월 50,000 원",연간 제한 없음,2024-02-01,예산 소진시 까지
김포시,10 %,"월 20,000 원",연간 제한 없음,2024-02-01,예산 소진시 까지
남양주시,10 %,"월 50,000 원",연간 제한 없음,2024-02-01,2024-02-29
동두천시,10 %,"월 100,000 원",연간 제한 없음,2024-02-01,2024-02-29
부천시,10 %,"월 30,000 원",연간 제한 없음,2024-02-01,2024-02-29
성남시,10 %,"월 30,000 원",연간 제한 없음,2024-02-01,2024-02-07
수원시,10 %,"월 30,000 원",연간 제한 없음,2024-02-01,2024-02-29
시흥시,6 %,"월 18,000 원",연간 제한 없음,2024-02-02,예산 소진시 까지
안산시,10 %,"월 30,000 원","연간 7,200,000 원",2024-02-01,예산 소진시 까지
안성시,10 %,"월 50,000 원",연간 제한 없음,2024-02-01,2024-02-29
안양시,10 %,"월 20,000 원",연간 제한 없음,2024-02-01,예산 소진시 까지
양주시,10 %,"월 30,000 원",연간 제한 없음,2024-02-01,예산 소진시 까지
양평군,10 %,"월 30,000 원",연간 제한 없음,2024-02-01,2024-02-29
여주시,10 %,"월 70,000 원",연간 제한 없음,2024-02-01,2024-02-29
연천군,10 %,"월 70,000 원",연간 제한 없음,2024-02-01,예산 소진시 까지
오산시,10 %,"월 50,000 원",연간 제한 없음,2024-02-01,예산 소진시 까지
용인시,10 %,"월 30,000 원",연간 제한 없음,2024-02-01,2024-02-29
의왕시,10 %,"월 30,000 원",연간 제한 없음,2024-02-01,예산 소진시 까지
의정부시,10 %,"월 30,000 원",연간 제한 없음,2024-02-01,예산 소진시 까지
이천시,10 %,"월 70,000 원",연간 제한 없음,2024-02-01,예산 소진시 까지
파주시,10 %,"월 100,000 원",연간 제한 없음,2024-02-01,2024-02-29
평택시,10 %,"월 50,000 원",연간 제한 없음,2024-02-01,예산 소진시 까지
포천시,10 %,"월 40,000 원",연간 제한 없음,2024-02-01,2024-02-29
하남시,10 %,"월 20,000 원",연간 제한 없음,2024-02-01,예산 소진시 까지
화성시,10 %,"월 30,000 원",연간 제한 없음,2024-02-01,2024-02-29
