지역,인센티브,포인트 지급한도,연간 지급한도,시작일,종료일
가평군,10 %,"월 60,000 원",연간 제한 없음,2023-12-01,예산 소진시 까지
고양시,-,-,-,-,-
과천시,7 %,"월 28,000 원",연간 제한 없음,2023-11-30,2023-12-31
광명시,0 %,월 0 원,연간 제한 없음,2023-12-01,예산 소진시 까지
광주시,-,-,-,-,-
구리시,-,-,-,-,-
군포시,7 %,"월 49,000 원",연간 제한 없음,2023-12-01,2023-12-31
김포시,-,-,-,-,-
남양주시,-,-,-,-,-
동두천시,7 %,"월 49,000 원",연간 제한 없음,2023-12-01,2023-12-31
부천시,10 %,"월 50,000 원",연간 제한 없음,2023-12-01,2023-12-31
성남시,-,-,-,-,-
수원시,6 %,"월 24,000 원",연간 제한 없음,2023-12-01,2023-12-31
시흥시,7 %,"월 42,000 원",연간 제한 없음,2023-12-01,예산 소진시 까지
안산시,10 %,"월 30,000 원","연간 7,200,000 원",2023-12-01,예산 소진시 까지
안성시,-,-,-,-,-
안양시,-,-,-,-,-
양주시,-,-,-,-,-
양평군,-,-,-,-,-
여주시,10 %,"월 70,000 원",연간 제한 없음,2023-12-01,2023-12-31
연천군,-,-,-,-,-
오산시,-,-,-,-,-
용인시,10 %,"월 50,000 원",연간 제한 없음,2023-12-01,2023-12-31
의왕시,-,-,-,-,-
의정부시,10 %,"월 40,000 원",연간 제한 없음,2023-12-01,예산 소진시 까지
이천시,10 %,"월 70,000 원",연간 제한 없음,2023-12-01,예산 소진시 까지
파주시,10 %,"월 20,000 원",연간 제한 없음,2023-12-01,2023-12-31
평택시,-,-,-,-,-
포천시,-,-,-,-,-
하남시,7 %,"월 49,000 원",연간 제한 없음,2023-12-01,2023-12-31
화성시,-,-,-,-,-
