지역,인센티브,포인트 지급한도,연간 지급한도,시작일,종료일
가평군,10 %,"월 50,000 원",연간 제한 없음,2023-02-01,2023-02-28
고양시,6 %,"월 12,000 원",연간 제한 없음,2023-02-01,2023-02-28
과천시,6 %,"월 12,000 원",연간 제한 없음,2023-02-01,2023-02-28
광명시,10 %,"월 40,000 원",연간 제한 없음,2023-02-01,2023-02-28
광주시,6 %,"월 30,000 원",연간 제한 없음,2023-02-01,2023-02-28
구리시,7 %,"월 35,000 원",연간 제한 없음,2023-02-01,예산 소진시 까지
군포시,6 %,"월 6,000 원",연간 제한 없음,2023-02-01,2023-02-28
김포시,6 %,"월 12,000 원",연간 제한 없음,2023-02-01,예산 소진시 까지
남양주시,10 %,"월 30,000 원",연간 제한 없음,2023-02-01,2023-02-28
동두천시,6 %,"월 24,000 원",연간 제한 없음,2023-02-01,예산 소진시 까지
부천시,6 %,"월 18,000 원",연간 제한 없음,2023-02-01,2023-02-28
성남시,6 %,"월 12,000 원",연간 제한 없음,2023-02-01,2023-02-28
수원시,6 %,"월 18,000 원",연간 제한 없음,2023-02-01,2023-02-28
시흥시,6 %,"월 18,000 원",연간 제한 없음,2023-02-01,예산 소진시 까지
안산시,6 %,"월 12,000 원",연간 제한 없음,2023-02-01,예산 소진시 까지
안성시,6 %,"월 30,000 원",연간 제한 없음,2023-02-01,2023-02-28
안양시,-,-,-,-,-
양주시,6 %,"월 30,000 원",연간 제한 없음,2023-02-01,예산 소진시 까지
양평군,6 %,"월 18,000 원",연간 제한 없음,2023-02-01,2023-02-28
여주시,6 %,"월 60,000 원",연간 제한 없음,2023-02-01,예산 소진시 까지
연천군,6 %,"월 60,000 원",연간 제한 없음,2023-02-01,2023-02-28
오산시,6 %,"월 30,000 원",연간 제한 없음,2023-02-01,예산 소진시 까지
용인시,6 %,"월 18,000 원",연간 제한 없음,2023-02-01,2023-02-28
의왕시,6 %,월 12000 원,연간 제한 없음,2023-02-01,예산 소진시 까지
의정부시,6 %,"월 24,000 원","연간 400,000 원",2023-02-01,2023-02-28
이천시,6 %,"월 60,000 원",연간 제한 없음,2023-02-01,2023-02-28
파주시,10 %,"월 30,000 원",연간 제한 없음,2023-02-01,2023-02-28
평택시,10 %,"월 30,000 원",연간 제한 없음,2023-02-01,2023-02-28
포천시,10 %,"월 70,000 원",연간 제한 없음,2023-02-01,2023-02-28
하남시,6 %,"월 12,000 원",연간 제한 없음,2023-02-01,2023-02-28
화성시,10 %,"월 30,000 원",연간 제한 없음,2023-02-01,2023-12-31
