지역,인센티브,포인트 지급한도,연간 지급한도,시작일,종료일
가평군,10 %,"월 500,000 원",연간 제한 없음,2023-06-01,2023-06-30
고양시,6 %,"월 12,000 원",연간 제한 없음,2023-06-01,예산 소진시 까지
과천시,6 %,"월 12,000 원",연간 제한 없음,2023-06-01,2023-06-30
광명시,10 %,"월 30,000 원",연간 제한 없음,2023-06-01,2023-06-30
광주시,6 %,"월 30,000 원",연간 제한 없음,2023-06-01,2023-06-30
구리시,7 %,"월 35,000 원",연간 제한 없음,2023-06-01,예산 소진시 까지
군포시,6 %,"월 24,000 원",연간 제한 없음,2023-06-01,2023-06-30
김포시,6 %,"월 12,000 원",연간 제한 없음,2023-06-01,예산 소진시 까지
남양주시,10 %,"월 30,000 원",연간 제한 없음,2023-06-01,2023-06-30
동두천시,10 %,"월 60,000 원",연간 제한 없음,2023-06-01,2023-06-30
부천시,6 %,"월 18,000 원",연간 제한 없음,2023-06-01,2023-06-30
성남시,6 %,"월 12,000 원",연간 제한 없음,2023-06-01,2023-06-30
수원시,6 %,"월 18,000 원",연간 제한 없음,2023-06-01,2023-06-30
시흥시,6 %,"월 18,000 원",연간 제한 없음,2023-06-01,예산 소진시 까지
안산시,7 %,"월 21,000 원","연간 7,200,000 원",2023-06-01,예산 소진시 까지
안성시,10 %,"월 50,000 원",연간 제한 없음,2023-06-01,2023-06-30
안양시,-,-,-,-,-
양주시,10 %,"월 50,000 원",연간 제한 없음,2023-06-01,2023-06-30
양평군,6 %,"월 18,000 원",연간 제한 없음,2023-06-01,2023-06-30
여주시,10 %,"월 100,000 원",연간 제한 없음,2023-06-01,2023-06-30
연천군,10 %,"월 100,000 원",연간 제한 없음,2023-06-01,2023-06-30
오산시,10 %,"월 30,000 원",연간 제한 없음,2023-06-01,예산 소진시 까지
용인시,6 %,"월 18,000 원",연간 제한 없음,2023-06-01,2023-06-30
의왕시,6 %,"월 12,000 원",연간 제한 없음,2023-06-01,2023-06-30
의정부시,6 %,"월 24,000 원","연간 400,000 원",2023-06-01,2023-06-30
이천시,6 %,"월 60,000 원",연간 제한 없음,2023-06-01,예산 소진시 까지
파주시,10 %,"월 30,000 원",연간 제한 없음,2023-06-01,2023-06-30
평택시,6 %,"월 18,000 원",연간 제한 없음,2023-06-01,예산 소진시 까지
포천시,6 %,"월 24,000 원",연간 제한 없음,2023-06-01,2023-06-30
하남시,6 %,"월 12,000 원",연간 제한 없음,2023-06-01,2023-06-30
화성시,10 %,"월 30,000 원",연간 제한 없음,2023-06-01,2023-06-30
