지역,인센티브,포인트 지급한도,연간 지급한도,시작일,종료일
가평군,10 %,"월 60,000 원",연간 제한 없음,2024-01-01,예산 소진시 까지
고양시,-,-,-,-,-
과천시,6 %,"월 18,000 원",연간 제한 없음,2024-01-01,2024-01-31
광명시,10 %,"월 30,000 원",연간 제한 없음,2024-01-01,2024-01-31
광주시,-,-,-,-,-
구리시,6 %,"월 42,000 원",연간 제한 없음,2024-01-29,2024-01-31
군포시,6 %,"월 30,000 원",연간 제한 없음,2024-01-01,2024-01-31
김포시,-,-,-,-,-
남양주시,10 %,"월 30,000 원",연간 제한 없음,2024-01-01,2024-01-31
동두천시,6 %,"월 24,000 원",연간 제한 없음,2024-01-01,2024-01-31
부천시,6 %,"월 18,000 원",연간 제한 없음,2024-01-04,2024-01-31
성남시,6 %,"월 12,000 원",연간 제한 없음,2024-01-02,2024-01-31
수원시,6 %,"월 18,000 원",연간 제한 없음,2024-01-01,2024-01-31
시흥시,6 %,"월 18,000 원",연간 제한 없음,2024-01-01,예산 소진시 까지
안산시,-,-,-,-,-
안성시,-,-,-,-,-
안양시,6 %,"월 12,000 원",연간 제한 없음,2024-01-01,예산 소진시 까지
양주시,-,-,-,-,-
양평군,-,-,-,-,-
여주시,-,-,-,-,-
연천군,10 %,"월 70,000 원",연간 제한 없음,2024-01-01,예산 소진시 까지
오산시,6 %,"월 30,000 원",연간 제한 없음,2024-01-01,예산 소진시 까지
용인시,6 %,"월 15,000 원",연간 제한 없음,2024-01-04,2024-01-31
의왕시,6 %,"월 18,000 원",연간 제한 없음,2024-01-01,예산 소진시 까지
의정부시,6 %,"월 18,000 원",연간 제한 없음,2024-01-01,예산 소진시 까지
이천시,-,-,-,-,-
파주시,10 %,"월 30,000 원",연간 제한 없음,2024-01-01,2024-01-31
평택시,-,-,-,-,-
포천시,-,-,-,-,-
하남시,6 %,"월 12,000 원",연간 제한 없음,2024-01-01,예산 소진시 까지
화성시,10 %,"월 30,000 원",연간 제한 없음,2024-01-01,2024-02-29
