merchant,category,star,address,oper_time,starCount,reviewCount
피오니 홍대점,카페,3.8,서울마포구 독막로7길51 1층(우)04043,"매일 12:00 ~ 21:00

매일 라스트오더 ~ 20:30",274,642
943킹스크로스,테마카페,4.1,"서울마포구 양화로16길24 지하1층,1~4층(우)04039","월~목 11:30 ~ 21:30

금~일 10:00 ~ 21:30",360,191
카미야,"돈까스,우동",4.2,서울마포구 와우산로21길28-6 지하1층(우)04040,"매일 11:00 ~ 21:30

매일 라스트오더 ~ 21:00",191,426
우와 홍대본점,일식,3.4,서울마포구 와우산로21길21-16 2층202호(우)04041,매일 12:00 ~ 22:00월~금 휴게시간 14:30 ~ 17:00,168,624
칸다소바 홍대점,일본식라면,4.3,서울마포구 와우산로51-6 1층(우)04049,"매일 10:30 ~ 21:30

월~토 휴게시간 16:00 ~ 17:00

일 휴게시간 15:30 ~ 17:00",280,439
감성타코 홍대점,"멕시칸,브라질",3.5,서울마포구 와우산로21길20-11 2층(우)04040,"월~금 11:30 ~ 22:00

토,일 12:00 ~ 22:00

월~금 휴게시간 16:00 ~ 17:00",134,804
맛이차이나,중국요리,3.6,서울마포구 독막로68 2층(우)04074,매일 11:30 ~ 22:00월~금 휴게시간 16:00 ~ 17:00,151,178
강강술래 홍대점,한식,3.8,"서울마포구 잔다리로6길25 1,2층(우)04039",매일 11:00 ~ 22:00,23,30
홍대 조선시대,한식,4.7,서울마포구 홍익로3길44 지하1층(우)04039,"월,화,수,목,일 17:30 ~ 03:00

금,토 17:30 ~ 04:00",498,118
비스트로주라,양식,4.4,서울마포구 와우산로23길18-7 1층(우)04054,매일 11:30 ~ 21:00월~금 휴게시간 15:10 ~ 17:00,194,120
땡스네이쳐,카페,4.2,서울마포구 홍익로10 푸르지오상가지하1층121호(우)04055,매일 12:00 ~ 21:00,80,48
프리모바치오바치 홍대본점,이탈리안,3.9,"서울마포구 와우산로23길44 2,3층(우)04055","매일 11:00 ~ 23:00

매일 라스트오더 ~ 22:00",141,239
하카타분코,일본식라면,3.0,서울마포구 독막로19길43 1층(우)04068,매일 11:30 ~ 03:00,280,387
츠케루,일본식라면,4.5,서울마포구 와우산로23길9 칼리오페1층102호(우)04055,매일 11:30 ~ 21:30,925,260
가미우동,"돈까스,우동",4.4,서울마포구 홍익로2길23 1층2호(우)04055,"화~일 11:30 ~ 20:30

화~일 라스트오더 ~ 20:00

화~일 휴게시간 15:00 ~ 17:00",322,360
테이스티버거,햄버거,3.6,서울마포구 독막로67-11 행운빌딩1층(우)04049,"화~일 11:30 ~ 22:00

화~일 휴게시간 15:00 ~ 16:30",134,278
진진,중식,3.5,서울마포구 월드컵북로1길60 1층(우)04031,매일 11:30 ~ 21:30매일 휴게시간 15:00 ~ 17:00,59,116
정돈,"돈까스,우동",4.4,서울마포구 어울마당로46 1층(우)04049,매일 11:30 ~ 20:30매일 휴게시간 14:30 ~ 17:00,199,91
여우골 홍대점,"초밥,롤",4.1,서울마포구 와우산로19길9 (우)04041,매일 11:00 ~ 22:00,134,136
하이디라오 홍대지점,중국요리,4.2,서울마포구 양화로176 와이즈파크5층(우)04051,매일 10:00 ~ 03:00,177,681
마녀주방 홍대점,양식,4.1,"서울마포구 와우산로21길36-10 1,2층(우)04040","매일 12:00 ~ 21:30
(매장 상황에 따라 상이하게 변동이 있을 수 있는 점 양해 부탁드립니다.)

매일 라스트오더 ~ 20:30",80,192
콜린,테마카페,3.8,"서울마포구 어울마당로45 1,2층(우)04048",매일 10:30 ~ 23:00,100,382
어반플랜트 합정,카페,4.2,서울마포구 독막로4길3 1~3층(우)04072,매일 10:00 ~ 22:00,324,1157
오레노라멘 합정본점,일본식라면,4.4,서울마포구 독막로6길14 (우)04072,매일 11:00 ~ 21:00,705,403
개화기요정,일본식주점,2.3,서울마포구 독막로7길22 (우)04048,"월~금 17:00 ~ 02:00

토,일 17:00 ~ 03:00",42,197
비스트로사랑방,이탈리안,4.0,서울마포구 와우산로15길40 2층(우)04049,"매일 12:00 ~ 22:00

매일 휴게시간 15:00 ~ 17:00",61,821
더담,한정식,3.2,서울마포구 와우산로29길44 2층201호(우)04052,"매일 12:00 ~ 20:40

매일 라스트오더 ~ 20:00

월~토 휴게시간 14:50 ~ 17:00",31,567
짬뽕지존 홍대점,중국요리,3.3,서울마포구 어울마당로44-1 보리수빌딩1층(우)04049,매일 00:00 ~ 24:00,36,74
아오이토리,"제과,베이커리",4.0,서울마포구 와우산로29길8 KC빌딩1층(우)04052,매일 09:00 ~ 21:00,238,454
냉장고,"육류,고기",4.7,서울마포구 와우산로23 규민빌딩1층102호(우)04074,화~일 15:00 ~ 22:00,131,123
황곱 홍대점,"곱창,막창",4.7,서울마포구 어울마당로149 1층(우)04051,"월,화,수,목,일 17:00 ~ 23:00

금,토 15:00 ~ 24:00",1635,313
삼거리포차,실내포장마차,2.8,서울마포구 와우산로70 (우)04067,0,28,2
미어캣프랜즈,테마카페,2.5,서울마포구 와우산로21길20 2층(우)04040,매일 13:30 ~ 20:00,59,50
지로우라멘,일본식라면,4.0,서울마포구 와우산로29가길79 (우)04054,매일 11:00 ~ 21:30매일 휴게시간 15:00 ~ 17:00,308,217
소코아 홍대점,일식,4.4,서울마포구 와우산로15길49 1층(우)04049,매일 11:30 ~ 22:00매일 휴게시간 15:00 ~ 17:00,125,307
스아게K,일식,3.9,서울마포구 와우산로29라길7 (우)04053,"화~금 11:30 ~ 22:00

토,일 12:00 ~ 21:00

화~금 휴게시간 15:00 ~ 17:00",178,156
델리인디아,인도음식,4.5,서울마포구 독막로9길8 2층(우)04048,매일 11:00 ~ 22:10,111,1469
피자네버슬립스 합정상수점,피자,4.1,서울마포구 양화로6길73 4층(우)04047,매일 12:00 ~ 24:00,305,479
이치류 홍대본점,"육류,고기",4.3,서울마포구 잔다리로3안길44 (우)04043,"월~토 17:00 ~ 23:00

일 17:00 ~ 22:00

월~토 라스트오더 ~ 22:00

일 라스트오더 ~ 21:00",92,181
버터밀크,카페,4.0,서울마포구 와우산로130 1층(우)04059,"월,화,목,금,토,일 10:00 ~ 15:00",219,223
혼가츠,"돈까스,우동",3.0,서울마포구 와우산로21길36-6 102호(우)04040,매일 11:00 ~ 22:00,103,1438
스탠스커피,카페,4.2,서울마포구 와우산로11길9 1층101호(우)04049,"월~금 11:00 ~ 22:00

토,일 12:00 ~ 22:00",75,453
하하&김종국의 401정육식당 홍대본점,"육류,고기",2.2,서울마포구 잔다리로23 1층(우)04043,"월,화,수,목,일 16:00 ~ 02:00

금,토 16:00 ~ 04:00",36,45
산울림1992,"호프,요리주점",3.7,서울마포구 서강로9길60 (우)04061,"화~목 17:00 ~ 24:00

금,토 17:00 ~ 01:00

일 16:00 ~ 24:00",102,310
이빠네마그릴 홍대점,"멕시칸,브라질",4.3,서울마포구 홍익로7 소망빌딩지하1층(우)04040,매일 11:30 ~ 22:00매일 휴게시간 14:30 ~ 17:00,41,203
멘야산다이메 홍대점,일본식라면,3.8,서울마포구 홍익로5안길24 (우)04039,매일 11:50 ~ 21:00,124,211
광동포차,실내포장마차,3.1,서울마포구 잔다리로5-1 (우)04049,매일 18:00 ~ 10:00,10,12
홍대인파스타,이탈리안,3.7,서울마포구 홍익로5안길32 홍대가자2빌딩103호(우)04039,매일 11:30 ~ 22:00,48,96
웃사브,인도음식,3.6,서울마포구 와우산로11길10 (우)04049,화~일 11:50 ~ 22:00,84,121
후라토식당 상수직영점,"돈까스,우동",4.0,서울마포구 독막로15길3-14 1층(우)04049,"매일 11:30 ~ 22:00

매일 휴게시간 15:00 ~ 17:00",59,150
아웃닭 홍대점,치킨,3.4,서울마포구 와우산로17길19 (우)04049,"매일 16:00 ~ 02:00

매일 라스트오더 ~ 01:00",39,70
백년토종삼계탕 본점,삼계탕,3.7,서울마포구 양화로118 (우)04038,매일 09:30 ~ 22:30,46,31
효봉포차,실내포장마차,4.4,서울마포구 와우산로18길12 (우)04067,0,20,35
스케줄 합정,양식,3.5,서울마포구 양화로6길33 홍타운1층(우)04044,매일 11:00 ~ 23:00,94,2544
홍대조폭떡볶이 홍대2호점,떡볶이,2.7,서울마포구 홍익로6길38 1층(우)04050,매일 11:00 ~ 06:00,88,314
산리오러버스클럽,카페,3.9,"서울마포구 와우산로19길18 가동1,2층(우)04041",매일 12:00 ~ 21:00(에약제),64,904
바다회사랑 2호점,회,3.2,"서울마포구 동교로143 1,2층(우)04002","월~토 14:30 ~ 01:00

일 14:30 ~ 23:00",156,894
제비다방,다방,4.4,서울마포구 와우산로24 (우)04075,매일 11:00 ~ 02:00,97,104
또보겠지떡볶이집 스마일보이점,떡볶이,3.6,서울마포구 와우산로29길14-8 2층(우)04052,월~토 11:30 ~ 21:30,63,238
카페공명 홍대점,커피전문점,4.1,"서울마포구 와우산로17길11-8 1,2,3층(우)04049",매일 11:00 ~ 23:00,68,352
온달집 홍대직영점,실내포장마차,4.7,서울마포구 잔다리로9 1층(우)04049,"월,화,수,목,일 17:00 ~ 05:00

금,토 16:30 ~ 09:00",240,64
홍대씨부엉,떡볶이,4.0,서울마포구 와우산로21길28-6 1층(우)04040,매일 11:00 ~ 24:00,37,1727
철길왕갈비살,갈비,3.4,서울마포구 와우산로32길24 (우)04061,"매일 12:00 ~ 23:00

매일 라스트오더 ~ 22:30",54,116
서강8경,양식,3.4,서울마포구 토정로128 8층(우)04081,매일 12:00 ~ 24:00매일 휴게시간 15:00 ~ 17:30,33,129
서울이스케이프룸 홍대2호점,테마카페,3.4,서울마포구 와우산로17길11 코스모스빌딩3층(우)04049,매일 11:00 ~ 24:00,11,90
로쏘1924,피자,4.0,서울마포구 홍익로29 1층(우)04038,매일 11:00 ~ 23:00,132,119
꼼보포차 홍대2호점,실내포장마차,2.9,서울마포구 와우산로17길19 (우)04049,"월~금 17:00 ~ 05:00

토,일 17:00 ~ 06:00",25,15
앤트러사이트 합정점,커피전문점,3.6,서울마포구 토정로5길10 (우)04073,매일 09:00 ~ 22:00,179,263
온블랙94,"스테이크,립",4.0,서울마포구 와우산로39-14 (우)04049,"화~토 17:00 ~ 02:00

일 15:00 ~ 23:40",25,173
철인7호치킨 홍대점,치킨,5.0,서울마포구 양화로6길99-3 (우)04048,매일 16:00 ~ 02:00,1324,125
집사의하루 홍대점,고양이카페,4.4,서울마포구 와우산로21길19-8 태경빌딩2층(우)04041,0,131,133
어메이징농카이,태국음식,3.8,서울마포구 동교로156-11 1층(우)04031,매일 11:00 ~ 20:30매일 휴게시간 15:20 ~ 17:00,138,363
재미난조각가 홍대점,사주카페,3.0,서울마포구 와우산로21길24 2층(우)04040,0,30,34
훠궈나라 홍대점,중국요리,3.9,서울마포구 어울마당로133 (우)04050,매일 11:00 ~ 02:00,90,136
더피자보이즈 합정본점,피자,4.1,서울마포구 독막로9길6 2층(우)04048,"월,화,수,목,일 12:00 ~ 21:30

금,토 12:00 ~ 22:00

월,화,수,목,일 라스트오더 ~ 20:30

금,토 라스트오더 ~ 21:00

매일 휴게시간 15:00 ~ 16:00",134,75
돈주는남자 마포점,"육류,고기",3.4,서울마포구 잔다리로6길34-9 (우)04042,"월~금 13:00 ~ 23:00

토,일 12:00 ~ 23:00

월~금 휴게시간 15:00 ~ 17:00

토,일 휴게시간 15:00 ~ 16:00",25,54
달콤한거짓말,디저트카페,4.4,서울마포구 독막로61-4 (우)04049,"화~목 11:00 ~ 21:50

금~일 11:00 ~ 22:20",91,278
제임스시카고피자 홍대본점,피자,4.5,서울마포구 어울마당로122-1 1층(우)04055,"월~금 12:00 ~ 22:00

토,일 12:00 ~ 23:00",329,165
보승회관 홍대직영점,순대,2.8,서울마포구 어울마당로131 (우)04050,매일 00:00 ~ 24:00,53,99
21세기 우리바다수산,회,2.6,서울마포구 동교로173 (우)03992,매일 15:00 ~ 06:00,50,153
심양 홍대점,양꼬치,3.8,서울마포구 독막로9길43 (우)04048,"월~목 17:00 ~ 24:00

금 17:00 ~ 02:30

토 17:00 ~ 03:30

일 17:00 ~ 23:55

월~목 라스트오더 ~ 23:30

금 라스트오더 ~ 02:00

토 라스트오더 ~ 03:00

일 라스트오더 ~ 23:25",41,73
빠넬로,양식,3.8,서울마포구 어울마당로5길29 1층(우)04047,"수~금 17:30 ~ 23:00

토,일 12:00 ~ 22:00

토,일 휴게시간 15:30 ~ 17:00",84,265
코노미 홍대점,일본식주점,3.7,서울마포구 잔다리로6길28 (우)04042,"월~금 16:00 ~ 22:00

토,일 13:00 ~ 22:00",48,240
조선화로구이,"육류,고기",3.8,서울마포구 월드컵북로5 (우)04031,월~토 11:00 ~ 24:00,31,45
카페 지금여기,카페,4.0,서울마포구 양화로16길30-5 3층(우)04039,매일 11:00 ~ 20:00(휴무 및 영업시간 변경 인스타공지),20,45
경주식당,"육류,고기",3.8,서울마포구 와우산로13길49-7 (우)04049,매일 11:30 ~ 23:00매일 휴게시간 15:30 ~ 17:30,68,311
우동카덴 합정점,"돈까스,우동",3.1,"서울마포구 양화로7안길2-1 1,2층(우)04037","월~금 11:30 ~ 21:00

토 11:30 ~ 20:30

월~금 휴게시간 14:40 ~ 17:30",317,537
라멘트럭 상수본점,일본식라면,3.5,서울마포구 독막로14길31 1층(우)04074,매일 11:00 ~ 21:30,156,221
은행골 홍대점,"초밥,롤",3.3,서울마포구 와우산로15길34 (우)04049,매일 12:00 ~ 23:00,54,66
토모토카레 홍대점,일식,4.3,서울마포구 와우산로29길27 (우)04053,매일 11:30 ~ 21:00,83,226
겨울이머무는집,애견카페,3.2,서울마포구 와우산로17길19-5 1층(우)04049,"월,수,목,금,토,일 13:00 ~ 21:00

월,수,목,금,토,일 휴게시간 19:30 ~ 19:50

월,수,목,금,토,일 휴게시간 17:20 ~ 17:40

월,수,목,금,토,일 휴게시간 14:50 ~ 15:10",68,210
앵춘,술집,4.2,서울마포구 독막로81 1층(우)04049,매일 17:00 ~ 05:00,46,85
도마 홍대본점,"육류,고기",4.4,서울마포구 양화로16길33 1층(우)04039,"화~목 17:00 ~ 01:00

금,토 16:00 ~ 03:00

일 16:00 ~ 01:00",53,58
싸인이스케이프 홍대점,테마카페,4.7,서울마포구 와우산로65 6층(우)04049,매일 12:00 ~ 24:00,9,290
일편등심,"육류,고기",4.1,서울마포구 홍익로6길52 SIL빌딩3층(우)04050,매일 12:00 ~ 23:00,37,56
플레이트946,이탈리안,4.7,서울마포구 독막로19길20-6 1층(우)04067,"월~토 11:30 ~ 22:00

월~토 휴게시간 15:00 ~ 17:30",33,129
38도씨식당,"호프,요리주점",4.1,서울마포구 와우산로17길19-17 2층(우)04049,매일 11:30 ~ 21:30매일 휴게시간 15:30 ~ 17:00,15,269
왔쏘 홍대점,고기뷔페,4.5,서울마포구 독막로7길20 2층(우)04048,매일 12:00 ~ 02:00,26,39
또보겠지떡볶이집 호호피크닉점,떡볶이,3.9,서울마포구 독막로3길34 2층201호(우)04047,"화~일 11:30 ~ 21:00

화~일 라스트오더 ~ 20:00",62,402
홍익닭한마리 홍대본점,닭요리,3.7,서울마포구 와우산로29라길20 2층(우)04053,"월,수,목,금,토 11:30 ~ 21:00

일 11:30 ~ 20:30

월,수,목,금,토 휴게시간 15:30 ~ 17:00

일 휴게시간 15:00 ~ 17:00",36,42
홍스쭈꾸미 홍대본점,"해물,생선",3.7,서울마포구 어울마당로146 1층(우)04053,매일 11:30 ~ 24:00,100,331
부탄츄 홍대점,일본식라면,2.6,서울마포구 와우산로35길75 1층(우)04052,매일 11:30 ~ 21:30,207,92
괴르츠,양식,3.2,서울마포구 토정로136-13 우성빌딩7층(우)04081,매일 11:00 ~ 01:00매일 휴게시간 16:00 ~ 17:00,58,306
미로식당,"호프,요리주점",3.9,서울마포구 와우산로30길80 (우)04059,월~토 18:00 ~ 24:00,28,74
달콤왕가탕후루,간식,3.3,서울마포구 홍익로3길29 1층(우)04039,매일 11:00 ~ 24:00,61,166
벽돌포차,실내포장마차,3.4,"서울마포구 와우산로17길5 밤사빌딩1,2층(우)04049","월,화,수,목,일 17:00 ~ 05:00

금,토 17:00 ~ 06:00",18,63
옥동식 서교점,곰탕,3.9,서울마포구 양화로7길44-10 1층(우)04035,"매일 11:00 ~ 22:30
(재료소진시 조기마감)

월~금 휴게시간 15:00 ~ 17:00
(토,일 브레이크타임 없음)",340,554
막걸리싸롱 홍대본점,"호프,요리주점",2.1,서울마포구 와우산로21길12-6 1층(우)04040,매일 16:00 ~ 03:00,11,30
멜로우,테마카페,4.1,서울마포구 잔다리로30-11 1층(우)04042,"월,화,수,목,일 12:00 ~ 21:00

금,토 12:00 ~ 22:00",17,35
리얼이스케이프챌린지,테마카페,2.7,서울마포구 와우산로27길21 4층(우)04054,매일 11:00 ~ 23:00,9,17
오리지널시카고피자 홍대본점,피자,3.8,"서울마포구 독막로7길51 3,4층(우)04043",매일 11:00 ~ 23:00,76,165
자세,칵테일바,3.3,서울마포구 와우산로19길6-11 (우)04041,"월,화,수,목,일 17:00 ~ 02:00

금,토 17:00 ~ 04:00",40,6
썰스데이파티,"호프,요리주점",2.8,서울마포구 와우산로21길19-12 1층(우)04041,"월,화,수,목,일 19:00 ~ 04:00

금,토 19:00 ~ 05:00",16,15
몬스터피자 본점,피자,3.9,서울마포구 와우산로73 (우)04041,매일 17:00 ~ 05:00,29,2
예티,인도음식,4.1,서울마포구 와우산로18길20 (우)04067,매일 10:00 ~ 02:00,65,65
별천지설농탕,설렁탕,3.5,서울마포구 월드컵북로6 (우)03995,"매일 07:00 ~ 22:00

매일 휴게시간 15:00 ~ 17:00",44,98
만만코코로 홍대점,"호프,요리주점",1.6,"서울마포구 양화로16길34 2,3층(우)04039",매일 00:00 ~ 24:00,20,36
스파카나폴리,이탈리안,4.1,서울마포구 양화로6길28 2층(우)04046,"수~일 11:30 ~ 21:30

수~일 휴게시간 15:00 ~ 17:00",203,361
몰토베네,이탈리안,4.5,서울마포구 성지3길67 1층(우)04072,"매일 11:30 ~ 21:30

매일 휴게시간 15:30 ~ 17:30",162,302
