ZEROP41000,202008,41,경기도,0,0,C,10122,육류 포장육 및 냉동육 가공업(가금류 제외),15-Dec-2020 03:42:56,
ZEROP41000,202008,41,경기도,1,8000,C,10129,육류 기타 가공 및 저장 처리업(가금류 제외),15-Dec-2020 03:42:56,
ZEROP41000,202008,41,경기도,0,0,C,10211,수산동물 훈제", 조리 및 유사 조제식품 제조업,15-Dec-2020 03:42:56,
ZEROP41000,202008,41,경기도,0,0,C,10212,수산동물 건조 및 염장품 제조업,15-Dec-2020 03:42:56,
ZEROP41000,202008,41,경기도,0,0,C,10213,수산동물 냉동품 제조업,15-Dec-2020 03:42:56,
ZEROP41000,202008,41,경기도,0,0,C,10219,기타 수산동물 가공 및 저장 처리업,15-Dec-2020 03:42:56,
ZEROP41000,202008,41,경기도,2,10000,C,10220,수산식물 가공 및 저장 처리업,15-Dec-2020 03:42:56,
ZEROP41000,202008,41,경기도,6,340002,C,10301,김치류 제조업,15-Dec-2020 03:42:56,
ZEROP41000,202008,41,경기도,3,35000,C,10302,과실 및 그 외 채소 절임식품 제조업,15-Dec-2020 03:42:56,
ZEROP41000,202008,41,경기도,1,1000,C,10309,기타 과실ㆍ채소 가공 및 저장 처리업,15-Dec-2020 03:42:56,
ZEROP41000,202008,41,경기도,1,1,C,10401,동물성 유지 제조업,15-Dec-2020 03:42:56,
ZEROP41000,202008,41,경기도,15,76002,C,10402,식물성 유지 제조업,15-Dec-2020 03:42:56,
ZEROP41000,202008,41,경기도,0,0,C,10403,식용 정제유 및 가공유 제조업,15-Dec-2020 03:42:56,
ZEROP41000,202008,41,경기도,0,0,C,10501,액상 시유 및 기타 낙농제품 제조업,15-Dec-2020 03:42:56,
ZEROP41000,202008,41,경기도,41,436380,C,10502,아이스크림 및 기타 식용 빙과류 제조업,15-Dec-2020 03:42:56,
ZEROP41000,202008,41,경기도,46,349201,C,10611,곡물 도정업,15-Dec-2020 03:42:56,
ZEROP41000,202008,41,경기도,4,26502,C,10612,곡물 제분업,15-Dec-2020 03:42:56,
ZEROP41000,202008,41,경기도,1,11000,C,10613,곡물 혼합 분말 및 반죽 제조업,15-Dec-2020 03:42:56,
ZEROP41000,202008,41,경기도,1,1,C,10619,기타 곡물 가공품 제조업,15-Dec-2020 03:42:56,
