merchant,western,japan,service,location,meat,alcohol,cafe,time
1984,0.0,0.0,0.06349206349206349,0.2222222222222222,0.0,0.015873015873015872,0.5714285714285714,0.15873015873015872
21세기 우리바다수산,0.0,0.09090909090909091,0.18181818181818182,0.0,0.0,0.022727272727272728,0.0,0.2727272727272727
38도씨식당,0.3076923076923077,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0
943킹스크로스,0.0,0.006211180124223602,0.031055900621118012,0.11180124223602485,0.003105590062111801,0.07763975155279502,0.5496894409937888,0.055900621118012424
가로수포차,0.3333333333333333,0.0,0.25,0.08333333333333333,0.08333333333333333,0.4166666666666667,0.0,0.0
가미우동,0.0,1.3874538745387455,0.06273062730627306,0.02952029520295203,0.007380073800738007,0.14760147601476015,0.0,0.1033210332103321
가비애,0.0,0.0,0.14583333333333334,0.0,0.0,0.020833333333333332,0.4583333333333333,0.3125
감성타코 홍대점,0.0,0.0,0.11224489795918367,0.061224489795918366,0.07142857142857142,0.01020408163265306,0.04081632653061224,0.09183673469387756
강강술래 홍대점,0.0,0.0,0.0625,0.0,0.5625,0.0,0.0625,0.0
개화기요정,0.0,0.03333333333333333,0.3,0.0,0.0,0.13333333333333333,0.0,0.06666666666666667
겨울이머무는집,0.0,0.0,0.08620689655172414,0.017241379310344827,0.0,0.0,0.20689655172413793,0.3620689655172414
경주식당,0.4339622641509434,0.0,0.1320754716981132,0.05660377358490566,0.7169811320754716,0.0,0.0,0.16981132075471697
고고갈비 홍대상수점,0.0,0.0,0.17073170731707318,0.0,0.9512195121951219,0.0,0.0,0.036585365853658534
고베규카츠 상수점,0.07692307692307693,1.0,0.0,0.0,0.23076923076923078,0.0,0.07692307692307693,0.07692307692307693
고수포차,0.0,0.0,0.0,0.0,0.0,0.47368421052631576,0.0,0.0
광동포차,0.0,0.0,0.0,0.0,0.0,1.75,0.0,0.0
괴르츠,0.4444444444444444,0.0,0.15555555555555556,0.0,0.022222222222222223,0.0,0.044444444444444446,0.1111111111111111
구공탄곱창 본점,0.0,0.0,0.075,0.025,0.4,0.025,0.0,0.025
구스토타코,0.009900990099009901,0.0,0.12871287128712872,0.019801980198019802,0.0297029702970297,0.039603960396039604,0.009900990099009901,0.039603960396039604
금옥당 서교점,0.0,0.0,0.05714285714285714,0.02857142857142857,0.0,0.0,0.7142857142857143,0.08571428571428572
김앤김대게 서교점,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.2727272727272727
꼼보포차 홍대2호점,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.15
꽃피는고기 홍대본점,0.0,0.0,0.2692307692307692,0.0,0.46153846153846156,0.0,0.0,0.0
냉장고,0.0,0.0,0.14285714285714285,0.0,0.6964285714285714,0.0,0.0,0.07142857142857142
